"Bill of Material for icaplamp_evo.PcbDoc"
"On 2012-9-2 at 20:17:12"

"Comment","Pattern","Quantity","Components"

"104","0805","3","C3, C4, C5","Capacitor"
"22pF","0805","2","C1, C2","Capacitor"
"32768HZ","AT26","1","XT2","CY-AT26-32768HZ"
"8MHZ","HC-49S","1","XT1","CY-49S-8MHZ"
"AMS1117","SOT-223","1","U2","LDO ADJ"
"BSL","HDR2X3","1","J3",""
"Cap","0805","2","C6, C7","Capacitor"
"LCD_CON","HDR2X8","1","J2",""
"LCD_VCC_CON","SIP2","1","J4",""
"LIGHT_CONTROL_CON","SIP2","1","J1",""
"MSP430F149IPAG","PAG","1","MSP1","MSP430F149IPAG"
"Power_In","HDR1X2H","1","P1","Header, 2-Pin, Right Angle"
"QNPN","SO-G3/C2.5","2","Q1, Q2","NPN Bipolar Transistor"
"RELAY3.3V","Relay5V","2","U1, U3",""
"Res2","0805","3","R1, R2, R3","Resistor"
"SW-PB","SPST-2","2","S1, S2","Switch"
"WIFI_CON","wificon","1","1",""
